;COD_ESTACION;NOM_ESTACION;FECHA;HORA;SO2;CO;NO;NO2;NOx;O3;PM10;PM2.5;PM1;NH3;C6H6;C7H8;C8H10;Direc.;H.Rel.;Precip.;Pres.;R.Sol.;Ruido;Temp.;UV-B;Veloc.;Veloc.max.;As;BaA;BaP;BbFA;BjFA;BkFA;Cd;DahA;FA;HMN;H2S;IcdP;Ni;Pb;PST
777;3099002;ORIHUELA;2023-01-02;9;3;0,1;6;10;20;13;;;;;;;;244;96;0;1019;48;;6,4;;0,7;;;;;;;;;;;;;;;;
778;3099002;ORIHUELA;2023-01-02;10;3;0,1;7;8;19;23;;;;;;;;254;77;0;1020;294;;10,8;;1,1;;;;;;;;;;;;;;;;
779;3099002;ORIHUELA;2023-01-02;11;3;;7;7;19;32;;;;;;;;242;61;0;1020;417;;13,8;;1,2;;;;;;;;;;;;;;;;
780;3099002;ORIHUELA;2023-01-02;12;3;;6;4;14;42;;;;;;;;262;52;0;1019;436;;16,6;;0,9;;;;;;;;;;;;;;;;
781;3099002;ORIHUELA;2023-01-02;13;3;;6;4;13;53;;;;;;;;265;45;0;1018;533;;19;;0,6;;;;;;;;;;;;;;;;
782;3099002;ORIHUELA;2023-01-02;14;3;;6;4;13;63;;;;;;;;192;41;0;1018;303;;18,9;;0,3;;;;;;;;;;;;;;;;
783;3099002;ORIHUELA;2023-01-02;15;3;;6;2;11;64;;;;;;;;151;40;0;1017;385;;20,5;;0,3;;;;;;;;;;;;;;;;
784;3099002;ORIHUELA;2023-01-02;16;3;;5;11;19;49;;;;;;;;126;52;0;1017;68;;17,7;;0,2;;;;;;;;;;;;;;;;
785;3099002;ORIHUELA;2023-01-02;17;3;;6;23;33;30;;;;;;;;118;64;0;1018;28;;15,6;;0,3;;;;;;;;;;;;;;;;
786;3099002;ORIHUELA;2023-01-02;18;3;0,1;7;30;41;20;;;;;;;;26;75;0;1018;0;;13,3;;0,3;;;;;;;;;;;;;;;;
787;3099002;ORIHUELA;2023-01-02;19;3;0,1;10;42;58;7;;;;;;;;41;88;0;1019;0;;11,5;;0,4;;;;;;;;;;;;;;;;
788;3099002;ORIHUELA;2023-01-02;20;3;0,1;13;38;57;2;;;;;;;;43;94;0;1019;0;;10;;0,3;;;;;;;;;;;;;;;;
789;3099002;ORIHUELA;2023-01-02;21;3;0,1;8;21;33;3;;;;;;;;175;97;0;1020;0;;8,7;;;;;;;;;;;;;;;;;;
790;3099002;ORIHUELA;2023-01-02;22;3;0,1;7;17;28;2;;;;;;;;206;99;0;1020;0;;7,4;;0,3;;;;;;;;;;;;;;;;
791;3099002;ORIHUELA;2023-01-02;23;3;0,1;7;16;26;3;;;;;;;;220;99;0;1020;0;;7,1;;0,4;;;;;;;;;;;;;;;;
792;3099002;ORIHUELA;2023-01-03;0;3;0,1;5;13;22;3;;;;;;;;224;99;0;1020;0;;6,5;;;;;;;;;;;;;;;;;;
793;3099002;ORIHUELA;2023-01-03;1;3;0,1;5;10;18;5;;;;;;;;219;99;0;1020;0;;6,6;;0,4;;;;;;;;;;;;;;;;
794;3099002;ORIHUELA;2023-01-03;2;3;0,1;5;16;24;5;;;;;;;;234;99;0;1020;0;;7,2;;0,3;;;;;;;;;;;;;;;;
795;3099002;ORIHUELA;2023-01-03;3;3;0,1;5;9;17;4;;;;;;;;227;99;0;1020;0;;6,2;;0,3;;;;;;;;;;;;;;;;
796;3099002;ORIHUELA;2023-01-03;4;3;0,1;5;12;20;5;;;;;;;;248;99;0;1021;0;;6,9;;0,3;;;;;;;;;;;;;;;;
797;3099002;ORIHUELA;2023-01-03;5;3;0,1;5;8;15;3;;;;;;;;186;99;0;1021;0;;5,8;;0,3;;;;;;;;;;;;;;;;
798;3099002;ORIHUELA;2023-01-03;6;3;0,1;5;4;11;2;;;;;;;;239;99;0;1021;0;;5,4;;0,3;;;;;;;;;;;;;;;;
799;3099002;ORIHUELA;2023-01-03;7;3;0,1;6;5;13;2;;;;;;;;198;99;0;1022;0;;5,6;;0,3;;;;;;;;;;;;;;;;
800;3099002;ORIHUELA;2023-01-03;8;3;0,1;11;8;24;2;;;;;;;;237;99;0;1023;0;;5,8;;0,3;;;;;;;;;;;;;;;;
801;3099002;ORIHUELA;2023-01-03;9;3;0,1;19;10;39;2;;;;;;;;232;99;0;1023;28;;7,2;;0,3;;;;;;;;;;;;;;;;
802;3099002;ORIHUELA;2023-01-03;10;3;0,1;22;17;50;8;;;;;;;;246;99;0,2;1024;180;;10;;0,7;;;;;;;;;;;;;;;;
803;3099002;ORIHUELA;2023-01-03;11;3;0,1;12;15;34;25;;;;;;;;256;90;0;1024;383;;13,9;;1,1;;;;;;;;;;;;;;;;
804;3099002;ORIHUELA;2023-01-03;12;3;0,1;8;9;22;45;;;;;;;;271;72;0;1024;467;;17,2;;0,6;;;;;;;;;;;;;;;;
805;3099002;ORIHUELA;2023-01-03;13;3;0,1;7;7;16;56;;;;;;;;203;67;0;1023;488;;18,8;;0,4;;;;;;;;;;;;;;;;
806;3099002;ORIHUELA;2023-01-03;14;3;0,1;6;5;15;60;;;;;;;;158;65;0;1023;486;;18,8;;0,9;;;;;;;;;;;;;;;;
807;3099002;ORIHUELA;2023-01-03;15;3;0,1;6;4;13;64;;;;;;;;144;66;0;1023;405;;18,5;;0,7;;;;;;;;;;;;;;;;
808;3099002;ORIHUELA;2023-01-03;16;3;0,1;6;4;13;66;;;;;;;;111;70;0;1023;246;;16,9;;1;;;;;;;;;;;;;;;;
809;3099002;ORIHUELA;2023-01-03;17;3;0,1;5;7;16;60;;;;;;;;139;79;0;1024;45;;15,2;;0,5;;;;;;;;;;;;;;;;
810;3099002;ORIHUELA;2023-01-03;18;3;0,1;6;9;18;40;;;;;;;;156;92;0;1025;0;;12,7;;0,4;;;;;;;;;;;;;;;;
811;3099002;ORIHUELA;2023-01-03;19;3;0,1;7;18;28;17;;;;;;;;224;99;0;1025;0;;11,5;;0,3;;;;;;;;;;;;;;;;
812;3099002;ORIHUELA;2023-01-03;20;3;0,1;5;18;26;8;;;;;;;;200;99;0;1026;0;;10,4;;0,4;;;;;;;;;;;;;;;;
813;3099002;ORIHUELA;2023-01-03;21;3;0,1;6;14;24;3;;;;;;;;208;99;0;1026;0;;8,9;;;;;;;;;;;;;;;;;;
814;3099002;ORIHUELA;2023-01-03;22;3;0,1;6;9;18;7;;;;;;;;210;99;0;1027;0;;8,4;;0,3;;;;;;;;;;;;;;;;
815;3099002;ORIHUELA;2023-01-03;23;3;0,1;6;6;14;8;;;;;;;;220;99;0;1027;0;;8,7;;0,4;;;;;;;;;;;;;;;;
816;3099002;ORIHUELA;2023-01-04;0;3;0,1;6;3;12;11;;;;;;;;230;99;0;1027;0;;8,6;;0,4;;;;;;;;;;;;;;;;
817;3099002;ORIHUELA;2023-01-04;1;3;0,1;4;8;15;8;;;;;;;;238;99;0;1027;0;;8,1;;0,3;;;;;;;;;;;;;;;;
818;3099002;ORIHUELA;2023-01-04;2;3;0,1;5;11;20;5;;;;;;;;226;99;0;1026;0;;7,5;;0,2;;;;;;;;;;;;;;;;
819;3099002;ORIHUELA;2023-01-04;3;3;0,1;5;12;19;4;;;;;;;;335;99;0;1027;0;;7,1;;0,4;;;;;;;;;;;;;;;;
820;3099002;ORIHUELA;2023-01-04;4;3;0,1;5;11;18;2;;;;;;;;172;99;0;1027;0;;6,8;;0,3;;;;;;;;;;;;;;;;
821;3099002;ORIHUELA;2023-01-04;5;3;0,1;5;15;23;2;;;;;;;;257;99;0;1027;0;;7,8;;0,4;;;;;;;;;;;;;;;;
822;3099002;ORIHUELA;2023-01-04;6;3;0,1;6;14;23;2;;;;;;;;246;99;0;1027;0;;7,2;;0,4;;;;;;;;;;;;;;;;
823;3099002;ORIHUELA;2023-01-04;7;3;0,1;5;11;19;4;;;;;;;;229;99;0;1027;0;;6,8;;0,3;;;;;;;;;;;;;;;;
824;3099002;ORIHUELA;2023-01-04;8;3;0,1;6;12;22;3;;;;;;;;227;99;0,2;1028;0;;6,6;;0,4;;;;;;;;;;;;;;;;
825;3099002;ORIHUELA;2023-01-04;9;3;0,1;11;14;31;4;;;;;;;;228;99;0,2;1028;39;;7,9;;0,5;;;;;;;;;;;;;;;;
826;3099002;ORIHUELA;2023-01-04;10;3;0,1;15;19;43;12;;;;;;;;251;99;0;1029;220;;11,1;;1,3;;;;;;;;;;;;;;;;
827;3099002;ORIHUELA;2023-01-04;11;3;0,1;16;21;44;21;;;;;;;;257;99;0;1029;383;;13,5;;1,7;;;;;;;;;;;;;;;;
828;3099002;ORIHUELA;2023-01-04;12;3;0,1;12;17;34;41;;;;;;;;265;86;0;1029;481;;16,1;;1,4;;;;;;;;;;;;;;;;
829;3099002;ORIHUELA;2023-01-04;13;3;0,1;7;7;17;58;;;;;;;;244;73;0;1028;388;;17,3;;0,7;;;;;;;;;;;;;;;;
830;3099002;ORIHUELA;2023-01-04;14;3;0,1;6;6;15;63;;;;;;;;254;68;0;1027;300;;17,3;;0,4;;;;;;;;;;;;;;;;
831;3099002;ORIHUELA;2023-01-04;15;3;0,1;5;2;10;68;;;;;;;;217;63;0;1026;363;;17,3;;0,7;;;;;;;;;;;;;;;;
832;3099002;ORIHUELA;2023-01-04;16;3;0,1;6;2;10;68;;;;;;;;208;63;0;1026;246;;17,1;;0,5;;;;;;;;;;;;;;;;
833;3099002;ORIHUELA;2023-01-04;17;3;0,1;5;3;10;55;;;;;;;;217;68;0;1026;58;;15,8;;0,3;;;;;;;;;;;;;;;;
834;3099002;ORIHUELA;2023-01-04;18;3;0,1;5;6;13;41;;;;;;;;206;83;0;1026;0;;11,9;;0,3;;;;;;;;;;;;;;;;
835;3099002;ORIHUELA;2023-01-04;19;3;0,1;6;8;17;20;;;;;;;;172;94;0;1027;0;;9,4;;0,3;;;;;;;;;;;;;;;;
836;3099002;ORIHUELA;2023-01-04;20;3;0,1;6;15;24;17;;;;;;;;275;99;0;1027;0;;8,7;;0,3;;;;;;;;;;;;;;;;
837;3099002;ORIHUELA;2023-01-04;21;3;0,1;5;8;16;10;;;;;;;;173;99;0;1027;0;;7,1;;0,3;;;;;;;;;;;;;;;;
838;3099002;ORIHUELA;2023-01-04;22;3;0,1;5;9;17;9;;;;;;;;241;99;0;1027;0;;6,6;;0,3;;;;;;;;;;;;;;;;
839;3099002;ORIHUELA;2023-01-04;23;3;0,1;5;8;15;4;;;;;;;;214;99;0;1027;0;;6,2;;0,3;;;;;;;;;;;;;;;;
840;3099002;ORIHUELA;2023-01-05;0;3;0,1;5;9;17;4;;;;;;;;221;99;0;1027;0;;6,9;;0,3;;;;;;;;;;;;;;;;
841;3099002;ORIHUELA;2023-01-05;1;3;0,1;5;12;21;6;;;;;;;;228;99;0;1026;0;;7,3;;0,3;;;;;;;;;;;;;;;;
842;3099002;ORIHUELA;2023-01-05;2;3;0,1;6;10;19;9;;;;;;;;237;99;0;1026;0;;6,8;;0,6;;;;;;;;;;;;;;;;
843;3099002;ORIHUELA;2023-01-05;3;3;0,1;6;9;17;8;;;;;;;;234;99;0;1026;0;;6,2;;0,4;;;;;;;;;;;;;;;;
844;3099002;ORIHUELA;2023-01-05;4;3;0,1;5;7;14;8;;;;;;;;227;99;0;1025;0;;6;;0,5;;;;;;;;;;;;;;;;
845;3099002;ORIHUELA;2023-01-05;5;3;0,1;5;6;13;8;;;;;;;;230;99;0;1025;0;;6,1;;0,4;;;;;;;;;;;;;;;;
846;3099002;ORIHUELA;2023-01-05;6;3;0,1;5;7;14;5;;;;;;;;239;99;0;1025;0;;5,4;;0,4;;;;;;;;;;;;;;;;
847;3099002;ORIHUELA;2023-01-05;7;3;0,1;4;6;13;5;;;;;;;;224;99;0;1025;0;;5,3;;0,6;;;;;;;;;;;;;;;;
848;3099002;ORIHUELA;2023-01-05;8;3;0,1;6;10;19;3;;;;;;;;238;99;0;1025;0;;5,4;;0,5;;;;;;;;;;;;;;;;
849;3099002;ORIHUELA;2023-01-05;9;3;0,1;8;10;23;8;;;;;;;;250;99;0;1025;37;;6,9;;1,3;;;;;;;;;;;;;;;;
850;3099002;ORIHUELA;2023-01-05;10;3;0,1;10;9;24;16;;;;;;;;259;99;0;1025;247;;9,6;;2,4;;;;;;;;;;;;;;;;
851;3099002;ORIHUELA;2023-01-05;11;3;0,1;12;11;29;21;;;;;;;;262;93;0;1025;401;;11,7;;2,8;;;;;;;;;;;;;;;;
852;3099002;ORIHUELA;2023-01-05;12;3;;12;12;31;29;;;;;;;;264;78;0;1025;495;;14;;2,7;;;;;;;;;;;;;;;;
853;3099002;ORIHUELA;2023-01-05;13;3;;9;10;24;42;;;;;;;;251;68;0;1023;527;;16,2;;1,4;;;;;;;;;;;;;;;;
854;3099002;ORIHUELA;2023-01-05;14;3;0,1;7;4;14;63;;;;;;;;260;59;0;1023;499;;17,9;;0,7;;;;;;;;;;;;;;;;
855;3099002;ORIHUELA;2023-01-05;15;3;0,1;5;2;10;69;;;;;;;;275;55;0;1022;396;;18,4;;0,5;;;;;;;;;;;;;;;;
856;3099002;ORIHUELA;2023-01-05;16;3;0,1;5;4;11;64;;;;;;;;137;60;0;1022;207;;16,2;;0,5;;;;;;;;;;;;;;;;
857;3099002;ORIHUELA;2023-01-05;17;3;0,1;6;9;18;57;;;;;;;;158;68;0;1021;46;;13,8;;0,8;;;;;;;;;;;;;;;;
858;3099002;ORIHUELA;2023-01-05;18;3;0,1;5;7;15;42;;;;;;;;175;79;0;1021;0;;10,5;;0,3;;;;;;;;;;;;;;;;
859;3099002;ORIHUELA;2023-01-05;19;3;0,1;6;8;17;33;;;;;;;;263;89;0;1021;0;;8,9;;0,4;;;;;;;;;;;;;;;;
860;3099002;ORIHUELA;2023-01-05;20;3;0,1;5;8;16;22;;;;;;;;246;95;0;1022;0;;7,8;;0,3;;;;;;;;;;;;;;;;
861;3099002;ORIHUELA;2023-01-05;21;3;0,1;5;8;16;13;;;;;;;;161;98;0;1022;0;;6,6;;0,3;;;;;;;;;;;;;;;;
